time,F3,F4,F5,F6,FZ,F1,F2
0.0,4.547,-10.488,8.881,-12.604,-3.988,-1.099,-7.772
0.00390625,4.547,-11.953,8.392,-13.58,-3.988,-1.099,-7.284
0.0078125,5.035,-9.511,6.927,-10.162,-2.523,-0.122,-4.842
0.01171875,5.035,-4.14,5.951,-3.815,-0.57,0.854,-1.424
0.015625,5.524,0.743,6.439,2.533,1.383,2.319,1.994
0.01953125,5.524,3.184,6.927,4.486,2.848,3.296,3.459
0.0234375,5.035,2.696,5.951,2.045,2.848,3.296,2.97
0.02734375,3.571,-0.234,3.51,-3.326,1.872,1.831,1.506
0.03125,1.617,-3.164,0.58,-6.744,0.895,-0.122,-0.448
0.03515625,0.153,-5.117,-0.885,-6.256,-1.058,-1.587,-1.912
0.0390625,-1.801,-5.605,-1.862,-4.303,-3.011,-3.052,-3.377
0.04296875,-2.777,-5.605,-1.862,-3.326,-4.964,-4.517,-4.842
0.046875,-3.754,-6.093,-1.862,-4.303,-6.429,-5.981,-5.819
0.05078125,-4.242,-7.07,-1.862,-7.233,-7.894,-6.47,-6.795
0.0546875,-3.754,-7.558,-0.885,-9.186,-7.894,-6.47,-7.284
0.05859375,-1.312,-7.558,2.045,-8.698,-6.429,-5.005,-5.819
0.0625,1.617,-6.093,5.951,-5.28,-3.499,-1.587,-3.377
0.06640625,5.524,-3.652,9.369,-2.838,-0.081,1.831,-0.448
0.0703125,8.453,-1.699,10.345,-1.373,2.36,4.761,1.994
0.07421875,8.942,-1.211,8.881,-1.862,3.825,5.737,2.97
0.078125,7.965,-1.699,7.416,-2.838,3.337,4.761,1.994
0.08203125,5.524,-2.187,5.951,-3.326,0.895,2.319,-0.448
0.0859375,2.594,-4.14,5.951,-4.303,-2.523,-1.099,-2.889
0.08984375,0.641,-5.117,5.951,-4.791,-4.964,-3.54,-4.842
0.09375,-0.336,-5.605,4.974,-4.791,-5.941,-5.005,-5.33
0.09765625,-0.336,-5.605,3.021,-4.303,-5.452,-4.517,-4.354
0.1015625,-0.336,-4.628,2.045,-2.838,-4.476,-3.54,-3.377
0.10546875,0.153,-3.164,1.556,-1.373,-3.011,-2.075,-2.401
0.109375,2.106,-1.699,3.021,-1.373,-1.546,-0.122,-0.448
0.11328125,4.547,-0.722,5.951,-1.373,0.407,1.831,1.017
0.1171875,6.5,-0.722,8.392,-1.373,1.383,3.296,1.506
0.12109375,6.5,-1.699,8.881,-1.862,1.872,2.808,1.506
0.125,5.035,-3.164,6.927,-2.35,0.895,1.343,-0.448
0.12890625,1.617,-4.14,3.998,-3.326,-2.035,-1.099,-2.401
0.1328125,-0.336,-5.117,2.533,-4.791,-4.476,-3.052,-3.866
0.13671875,-0.336,-5.117,3.51,-4.791,-4.964,-3.54,-4.354
0.140625,2.106,-4.14,6.927,-3.815,-3.499,-2.075,-1.912
0.14453125,6.012,-1.699,10.345,-0.885,-0.57,1.343,1.017
0.1484375,8.942,0.254,12.787,1.068,2.36,4.272,3.459
0.15234375,10.406,1.719,12.787,2.045,4.313,6.226,4.435
0.15625,9.43,0.743,10.834,1.068,3.825,5.737,2.97
0.16015625,7.477,-1.211,7.904,-1.373,1.872,3.784,0.529
0.1640625,5.035,-3.652,4.974,-3.326,-0.57,1.343,-1.912
0.16796875,2.106,-5.605,3.021,-5.28,-2.523,-0.122,-2.889
0.171875,0.641,-6.093,1.556,-6.256,-3.011,-1.587,-2.889
0.17578125,-0.336,-5.605,0.58,-6.256,-3.988,-2.563,-3.377
0.1796875,-1.312,-5.605,0.092,-6.256,-5.452,-3.54,-4.842
0.18359375,-1.312,-6.582,0.092,-6.256,-6.429,-4.517,-6.307
0.1875,-0.824,-7.07,1.068,-5.768,-6.917,-5.005,-6.795
0.19140625,0.641,-6.093,3.021,-4.303,-5.941,-4.028,-4.842
0.1953125,2.106,-3.652,4.974,-2.35,-3.988,-1.587,-1.424
0.19921875,4.059,-0.234,6.927,0.092,-1.058,0.366,1.506
0.203125,5.035,1.719,7.416,2.045,0.407,1.831,2.482
0.20703125,4.059,0.743,6.439,1.556,-0.081,1.343,0.041
0.2109375,2.594,-3.164,3.998,-1.862,-2.523,-0.61,-3.866
0.21484375,0.641,-8.535,1.556,-6.744,-5.452,-3.052,-7.772
0.21875,-0.824,-13.418,0.092,-11.139,-8.382,-5.493,-10.701
0.22265625,-1.801,-14.882,0.092,-13.092,-9.359,-6.47,-11.19
0.2265625,-1.312,-12.929,1.068,-12.115,-9.359,-6.47,-10.213
0.23046875,-0.336,-9.511,2.045,-10.162,-8.382,-5.981,-7.772
0.234375,0.641,-5.605,3.021,-6.744,-6.429,-5.005,-4.842
0.23828125,1.617,-1.211,4.974,-1.862,-4.964,-3.54,-1.424
0.2421875,2.594,2.207,7.416,5.463,-3.011,-2.075,1.506
0.24609375,4.059,4.161,8.881,11.81,-2.035,-1.099,2.482
0.25,3.571,3.672,7.416,14.252,-2.035,-0.61,1.506
0.25390625,2.106,1.231,3.51,10.345,-3.499,-2.075,-1.424
0.2578125,-0.824,-3.164,-1.373,2.533,-5.452,-4.517,-4.354
0.26171875,-3.265,-5.605,-4.791,-3.815,-7.406,-6.47,-5.819
0.265625,-4.242,-5.605,-4.303,-5.28,-7.894,-6.958,-4.842
0.26953125,-3.754,-4.14,-1.862,-2.838,-7.406,-6.47,-3.377
0.2734375,-2.289,-2.675,-0.885,-1.373,-5.941,-5.493,-3.377
0.27734375,-2.289,-3.164,-2.35,-3.326,-6.429,-5.493,-4.354
0.28125,-3.754,-4.628,-5.28,-6.744,-6.917,-6.47,-5.819
0.28515625,-5.707,-7.07,-7.721,-8.209,-8.382,-8.423,-6.795
0.2890625,-6.683,-8.046,-7.233,-5.768,-8.87,-9.399,-6.795
0.29296875,-6.683,-8.046,-6.256,-2.35,-9.359,-9.399,-6.307
0.296875,-6.683,-8.046,-6.256,-1.373,-9.359,-9.399,-7.284
0.30078125,-7.66,-7.558,-8.209,-3.326,-9.847,-9.399,-7.772
0.3046875,-8.636,-6.582,-10.651,-5.768,-9.847,-9.888,-6.795
0.30859375,-8.636,-4.628,-10.162,-4.791,-8.87,-9.888,-4.354
0.3125,-6.683,-1.211,-6.744,1.068,-6.429,-7.935,0.041
0.31640625,-3.265,2.696,-1.862,7.904,-3.499,-4.517,2.97
0.3203125,0.153,5.137,2.045,11.322,-1.058,-1.587,4.435
0.32421875,2.106,5.625,2.045,9.857,-1.058,-0.122,3.459
0.328125,1.617,5.137,1.068,7.416,-2.523,-1.587,1.506
0.33203125,0.641,4.161,1.068,7.904,-3.988,-3.052,1.017
0.3359375,-0.336,3.184,2.533,10.345,-5.941,-4.517,0.041
0.33984375,-0.336,2.696,3.998,12.787,-6.429,-5.005,-0.448
0.34375,0.153,1.719,3.998,11.81,-6.917,-5.005,-1.424
0.34765625,-0.336,-0.722,2.533,7.416,-6.917,-5.493,-2.889
0.3515625,-1.312,-2.675,0.58,2.045,-6.917,-5.493,-3.377
0.35546875,-2.289,-4.628,-0.885,0.092,-6.917,-5.981,-3.377
0.359375,-2.289,-4.14,-0.885,0.58,-6.429,-5.493,-2.401
0.36328125,-1.801,-2.675,-0.397,2.533,-5.941,-5.005,-2.401
0.3671875,-1.801,-2.675,-1.373,1.556,-6.429,-5.005,-3.866
0.37109375,-2.777,-4.14,-3.815,-1.862,-7.894,-5.981,-6.307
0.375,-4.73,-7.07,-5.768,-5.28,-9.847,-8.423,-8.26
0.37890625,-6.195,-9.511,-7.233,-6.744,-11.8,-9.888,-9.237
0.3828125,-6.683,-10.0,-6.744,-5.768,-11.312,-9.888,-8.26
0.38671875,-5.707,-8.535,-5.768,-3.326,-10.335,-8.423,-6.795
0.390625,-3.754,-5.605,-4.791,-1.373,-8.382,-6.958,-5.33
0.39453125,-2.289,-3.652,-3.815,-0.397,-6.429,-5.005,-4.354
0.3984375,-1.312,-2.187,-2.838,0.092,-4.964,-4.028,-2.401
0.40234375,0.153,-1.699,-1.862,0.58,-3.988,-3.052,-0.448
0.40625,1.617,-1.211,0.092,1.556,-2.035,-1.587,1.017
0.41015625,3.571,0.254,2.533,2.045,-0.081,0.366,1.994
0.4140625,4.059,1.231,3.51,3.51,0.407,0.854,2.482
0.41796875,3.571,2.696,3.51,4.974,-0.081,0.366,2.482
0.421875,1.617,3.672,2.045,6.927,-1.546,-1.099,2.482
0.42578125,-0.336,4.161,-0.397,8.392,-3.011,-3.052,2.482
0.4296875,-2.289,3.672,-2.35,7.904,-3.988,-4.517,1.994
0.43359375,-3.265,2.696,-3.815,5.463,-4.476,-5.005,1.506
0.4375,-3.265,1.231,-5.28,2.533,-4.964,-5.493,0.041
0.44140625,-4.242,-1.211,-6.256,-0.885,-6.429,-5.981,-2.401
0.4453125,-6.195,-4.628,-8.209,-4.791,-8.382,-7.935,-5.33
0.44921875,-8.636,-8.535,-10.651,-8.698,-10.824,-10.376,-8.26
0.453125,-11.566,-11.464,-13.092,-12.115,-12.777,-12.817,-10.701
0.45703125,-13.519,-13.418,-15.045,-13.58,-14.242,-14.771,-12.166
0.4609375,-13.519,-13.418,-16.022,-12.604,-14.73,-14.771,-11.678
0.46484375,-12.543,-11.953,-15.045,-9.674,-13.753,-13.794,-10.213
0.46875,-11.078,-9.511,-13.58,-6.744,-11.8,-11.841,-8.26
0.47265625,-9.613,-7.07,-12.115,-4.791,-9.847,-10.376,-6.307
0.4765625,-9.125,-5.605,-11.627,-3.815,-8.382,-8.911,-5.33
0.48046875,-9.125,-4.628,-11.627,-3.326,-6.917,-8.423,-3.866
0.484375,-8.636,-3.652,-11.139,-1.373,-5.941,-7.446,-2.401
0.48828125,-6.683,-0.722,-8.698,2.045,-3.988,-5.493,0.529
0.4921875,-4.242,2.207,-5.28,4.974,-1.546,-3.052,3.947
0.49609375,-1.312,5.137,-1.862,6.439,0.407,-0.61,5.9
0.5,1.129,6.114,0.58,5.951,1.872,0.854,5.9
0.50390625,2.594,4.649,1.556,4.974,1.383,1.343,4.435
0.5078125,2.106,2.207,0.58,4.486,-0.081,-0.122,2.482
0.51171875,0.153,0.743,-0.885,5.463,-2.035,-2.075,1.017
0.515625,-2.289,0.254,-2.838,5.463,-3.988,-4.028,0.529
0.51953125,-4.242,0.254,-4.303,4.486,-4.964,-5.493,0.529
0.5234375,-4.73,1.231,-5.768,3.021,-4.476,-5.493,1.017
0.52734375,-4.73,1.719,-6.256,2.045,-3.011,-4.517,1.506
0.53125,-3.754,2.207,-6.256,2.533,-2.035,-3.54,1.994
0.53515625,-3.754,2.207,-6.256,3.998,-1.546,-3.54,1.506
0.5390625,-4.242,1.231,-6.744,3.51,-3.011,-4.517,0.529
0.54296875,-5.219,-1.211,-7.233,1.068,-4.964,-5.981,-1.912
0.546875,-6.195,-4.628,-7.721,-2.838,-7.406,-7.935,-4.354
0.55078125,-7.172,-7.07,-8.209,-5.28,-8.87,-9.399,-6.307
0.5546875,-8.148,-8.046,-8.209,-4.791,-9.847,-9.888,-6.795
0.55859375,-8.636,-7.07,-8.698,-1.862,-9.847,-10.376,-5.819
0.5625,-8.148,-5.117,-8.209,1.068,-8.87,-9.399,-4.842
0.56640625,-7.66,-4.14,-7.721,1.556,-7.894,-8.911,-4.354
0.5703125,-6.683,-3.652,-7.233,0.092,-7.406,-8.423,-4.354
0.57421875,-6.683,-4.14,-7.721,-2.838,-6.917,-7.935,-4.354
0.578125,-6.683,-4.14,-8.698,-4.303,-6.917,-7.935,-4.354
0.58203125,-7.66,-3.164,-9.674,-3.815,-7.406,-8.911,-3.377
0.5859375,-9.125,-1.211,-10.651,-1.862,-7.406,-8.911,-2.401
0.58984375,-9.613,-0.234,-10.162,0.58,-6.917,-8.911,-1.912
0.59375,-9.125,-0.234,-9.186,2.045,-7.406,-8.911,-2.401
0.59765625,-7.66,-1.211,-6.744,2.533,-7.406,-8.911,-2.889
0.6015625,-6.195,-2.187,-4.791,2.533,-7.406,-8.423,-2.889
0.60546875,-4.73,-2.675,-3.815,1.068,-7.406,-7.935,-2.889
0.609375,-4.242,-2.675,-4.303,-0.397,,,
0.61328125,-4.73,-1.699,-6.256,-1.373,,,
0.6171875,-5.707,-1.211,-8.209,-1.373,,,
0.62109375,-7.172,-0.722,-9.674,0.092,,,
0.625,-7.66,-0.234,-10.162,1.556,,,
0.62890625,-8.148,0.254,-10.651,2.045,,,
0.6328125,-8.148,0.254,-10.651,1.556,,,
0.63671875,-8.148,0.254,-9.674,1.556,,,
0.640625,-7.172,0.743,-7.721,2.533,,,
0.64453125,-5.707,1.231,-5.28,4.486,,,
0.6484375,-3.754,1.719,-3.326,5.463,,,
0.65234375,-3.265,2.207,-3.326,4.974,,,
0.65625,-3.265,2.696,-4.303,3.998,,,
0.66015625,-3.754,2.207,-5.768,3.021,,,
0.6640625,-4.73,2.696,-5.28,3.998,,,
0.66796875,-3.754,3.184,-4.303,6.439,,,
0.671875,-2.777,4.161,-2.838,8.392,,,
0.67578125,-1.312,5.137,-1.862,9.369,,,
0.6796875,0.153,5.137,-1.373,9.369,,,
0.68359375,0.153,4.161,-1.373,8.881,,,
0.6875,-0.336,3.672,-2.838,7.904,,,
0.69140625,-2.289,2.696,-5.28,5.951,,,
0.6953125,-5.219,2.207,-9.186,3.51,,,
0.69921875,-8.148,2.207,-12.604,1.068,,,
0.703125,-10.59,2.696,-14.557,0.092,,,
0.70703125,-11.566,3.672,-14.069,2.045,,,
0.7109375,-10.59,5.137,-11.627,6.439,,,
0.71484375,-8.148,7.09,-8.209,10.834,,,
0.71875,-5.219,7.579,-5.768,12.299,,,
0.72265625,-2.777,5.625,-3.815,9.857,,,
0.7265625,-2.289,2.207,-3.326,4.974,,,
0.73046875,-3.754,-1.699,-5.28,0.58,,,
0.734375,-6.683,-3.652,-8.698,-1.862,,,
0.73828125,-9.613,-2.675,-12.115,-1.373,,,
0.7421875,-11.566,0.254,-14.069,1.068,,,
0.74609375,-11.078,3.672,-13.092,4.486,,,
0.75,-9.125,6.602,-9.186,7.416,,,
0.75390625,-6.195,7.09,-4.303,9.369,,,
0.7578125,-3.265,6.114,-0.885,9.857,,,
0.76171875,-1.312,3.672,0.58,7.904,,,
0.765625,-0.824,0.254,-0.397,4.486,,,
0.76953125,-1.801,-2.187,-1.862,1.068,,,
0.7734375,-3.265,-3.652,-4.303,-0.885,,,
0.77734375,-5.219,-3.164,-5.768,-0.397,,,
0.78125,-5.219,-1.699,-5.28,1.068,,,
0.78515625,-4.242,0.254,-3.326,1.556,,,
0.7890625,-1.801,1.719,-0.885,0.58,,,
0.79296875,0.153,2.207,-0.397,-0.397,,,
0.796875,-0.336,1.231,-2.35,-0.885,,,
0.80078125,-2.289,-0.234,-5.768,-0.397,,,
0.8046875,-5.707,-3.164,-8.698,-0.397,,,
0.80859375,-8.148,-5.605,-9.186,-1.373,,,
0.8125,-8.636,-7.07,-7.233,-2.35,,,
0.81640625,-7.172,-7.07,-4.791,-1.862,,,
0.8203125,-4.73,-4.14,-2.838,0.092,,,
0.82421875,-3.754,-0.722,-2.838,3.021,,,
0.828125,-3.754,1.719,-3.326,4.486,,,
0.83203125,-4.73,2.696,-4.303,4.486,,,
0.8359375,-6.195,1.719,-5.28,3.51,,,
0.83984375,-6.195,0.743,-5.768,3.021,,,
0.84375,-5.219,-0.234,-5.768,3.998,,,
0.84765625,-3.754,0.254,-4.303,6.439,,,
0.8515625,-2.289,1.231,-2.35,6.439,,,
0.85546875,-1.312,2.207,-0.397,5.951,,,
0.859375,-0.824,2.207,0.58,4.486,,,
0.86328125,-1.801,1.719,0.58,3.021,,,
0.8671875,-2.777,0.743,-0.397,2.533,,,
0.87109375,-3.754,-0.722,-1.373,2.533,,,
0.875,-4.73,-1.699,-3.326,1.556,,,
0.87890625,-5.219,-1.699,-4.791,0.092,,,
0.8828125,-4.73,-1.211,-5.768,-1.373,,,
0.88671875,-4.242,0.254,-5.768,-0.885,,,
0.890625,-2.289,1.719,-3.815,1.068,,,
0.89453125,-0.336,1.719,0.092,3.51,,,
0.8984375,1.617,0.743,3.998,4.974,,,
0.90234375,3.082,0.254,6.927,5.463,,,
0.90625,4.059,0.743,6.927,5.951,,,
0.91015625,2.594,2.207,4.974,6.927,,,
0.9140625,0.153,3.672,2.045,8.392,,,
0.91796875,-2.289,3.672,-0.885,8.392,,,
0.921875,-3.265,2.207,-1.862,6.439,,,
0.92578125,-3.754,0.254,-1.862,3.51,,,
0.9296875,-3.265,-0.234,-0.885,2.045,,,
0.93359375,-2.289,1.231,0.58,4.486,,,
0.9375,-1.312,3.672,3.021,9.369,,,
0.94140625,-0.336,5.137,4.974,13.275,,,
0.9453125,0.641,5.137,5.951,13.275,,,
0.94921875,1.129,2.696,5.463,9.369,,,
0.953125,0.641,0.254,3.998,3.998,,,
0.95703125,-0.824,-0.722,1.556,0.58,,,
0.9609375,-2.777,-1.211,-0.397,0.58,,,
0.96484375,-3.265,-1.211,-0.885,2.533,,,
0.96875,-3.754,-0.722,-1.373,3.998,,,
0.97265625,-3.754,0.254,-0.885,3.998,,,
0.9765625,-3.754,1.231,-0.397,4.974,,,
0.98046875,-4.242,2.696,0.092,6.439,,,
0.984375,-5.219,2.696,0.58,8.392,,,
0.98828125,-5.707,1.231,1.068,8.392,,,
0.9921875,-5.707,-0.722,-0.397,5.463,,,
0.99609375,-4.73,-2.675,-1.862,1.068,,,
