Ts,uEst,uVal,yEst,yVal
0,3.2567,0.97619,5.205,4.9728
4,3.2466,0.99921,5.2154,4.9722
8,3.2309,1.0172,5.2215,4.9703
12,3.2097,1.0318,5.2142,4.988
16,3.1836,1.0456,5.2001,4.9825
20,3.1531,1.0624,5.2309,4.9685
24,3.1194,1.0861,5.2163,4.9706
28,3.084,1.121,5.2081,4.9355
32,3.0485,1.1704,5.2041,4.9041
36,3.0148,1.2371,5.2178,4.815
40,2.9851,1.3224,5.2074,4.7402
44,2.9612,1.4264,5.1925,4.667
48,2.9449,1.5476,5.1968,4.5742
52,2.9375,1.6834,5.2334,4.4698
56,2.9401,1.8297,5.2074,4.4201
60,2.9528,1.9817,5.2358,4.3481
64,2.9754,2.1343,5.2544,4.2705
68,3.007,2.2822,5.2789,4.1982
72,3.046,2.4203,5.2615,4.1234
76,3.0903,2.5445,5.3027,4.0688
80,3.1373,2.6513,5.3057,4.0255
84,3.1844,2.7388,5.3338,3.9785
88,3.2285,2.8057,5.3384,3.9583
92,3.267,2.8524,5.3582,3.911
96,3.2973,2.88,5.4083,3.9196
100,3.3172,2.8908,5.4302,3.865
104,3.3253,2.8876,5.4607,3.8518
108,3.3208,2.8734,5.4858,3.8354
112,3.3035,2.8517,5.4839,3.8518
116,3.2741,2.8255,5.5303,3.8183
120,3.234,2.798,5.6072,3.8491
124,3.1853,2.7713,5.6323,3.846
128,3.1306,2.7475,5.678,3.8164
132,3.073,2.7278,5.6918,3.8528
136,3.0156,2.7127,5.7415,3.8335
140,2.9615,2.7023,5.7919,3.8332
144,2.9136,2.6959,5.8083,3.8354
148,2.8744,2.6927,5.8318,3.836
152,2.8456,2.691,5.8444,3.8674
156,2.8282,2.6894,5.921,3.8323
160,2.8222,2.6861,5.8975,3.864
164,2.827,2.6792,5.9515,3.8637
168,2.8405,2.6674,5.9539,3.8531
172,2.8604,2.6491,5.9414,3.8808
176,2.8834,2.6235,5.9979,3.8695
180,2.906,2.5902,6,3.8723
184,2.9242,2.5492,5.9976,3.8698
188,2.9345,2.5014,6.0317,3.8732
192,2.9336,2.4481,6.0085,3.8979
196,2.919,2.3911,6.0235,3.8759
200,2.8888,2.333,6.0488,3.9074
204,2.8425,2.2765,6.0537,3.8958
208,2.7805,2.2245,6.0488,3.9074
212,2.7043,2.1798,6.076,3.9098
216,2.6167,2.1451,6.0797,3.8994
220,2.521,2.1225,6.0684,3.9089
224,2.4214,2.1137,6.0537,3.8787
228,2.3222,2.1194,6.0586,3.8705
232,2.2277,2.1397,6.043,3.8924
236,2.1421,2.1737,6.0598,3.8833
240,2.0688,2.2198,6.0757,3.875
244,2.0103,2.2759,6.0671,3.8689
248,1.9679,2.3395,6.054,3.8628
252,1.9422,2.4078,6.0833,3.8927
256,1.9322,2.4781,6.0467,3.886
260,1.9361,2.5478,6.054,3.8695
264,1.9511,2.6149,6.011,3.8808
268,1.974,2.6779,6.0198,3.8454
272,2.0009,2.7355,5.9374,3.8616
276,2.0284,2.7874,5.8636,3.8601
280,2.053,2.8332,5.8032,3.8701
284,2.072,2.8732,5.6854,3.8753
288,2.0833,2.9073,5.606,3.8714
292,2.0858,2.9356,5.5196,3.8808
296,2.0793,2.9579,5.4394,3.8515
300,2.0648,2.9737,5.317,3.8628
304,2.0438,2.9821,5.2737,3.8662
308,2.0185,2.9818,5.1821,3.8622
312,1.9914,2.9716,5.1211,3.8988
316,1.9654,2.9502,5.021,3.9019
